Battery,Ah,Mass (g),Voltage,,Propellor,Mass (g),Amps,Thrust (g),Voltage,,Dual EDF,Mass (g),Amps,Thrust (g),Voltage,,Single EDF,Mass (g),Amps,Thrust (g),Voltage
Liperior,1,197,25.2,,CRM2204 1400KV,58,20,880,12.6,,XQ-Motor,152,44,1260,14.8,,XQ-Motor,76,22,720,14.8
Liperior,1.6,251,25.2,,CRM2208 1600KV,124,39.8,1498,12.6,,XQ-Motor,152,68,1610,14.8,,XQ-Motor,76,34,920,14.8
Liperior,2.2,352,25.2,,CRM2212 1400KV,150,44.2,1642,12.6,,Freewing,460,180,3675,22.2,,Freewing,230,90,2100,22.2
Liperior,3.3,487,25.2,,CRM2413 1300KV,170,39.1,1696,12.6,,JP Hobby,466,144.6,3692.5,22.2,,JP Hobby,233,72.3,2110,22.2
Liperior,4,587.4,25.2,,MAD 6X12 Pro,1306,60,7500,44,,JP Hobby,524,180,5075,22.2,,JP Hobby,262,90,2900,22.2
Liperior,5,718,25.2,,,,,,,,JP Hobby,910,200,9366,44.4,,JP Hobby,455,100,5352,44.4
Liperior,6,880,25.2,,,,,,,,JP Hobby,980,220,7227.5,30,,JP Hobby,490,110,4130,30
Liperior,8.1,930,25.2,,,,,,,,JP Hobby,970,234,6072.5,22.2,,JP Hobby,485,117,3470,22.2
Liperior,3.3,416,21,,,,,,,,JP Hobby,1100,234,10850,39,,JP Hobby,550,117,6200,39
Liperior,4,514,21,,,,,,,,JP Hobby,1400,223,13125,44.4,,JP Hobby,700,111.5,7500,44.4
Liperior,5,617,21,,,,,,,,,,,,,,,,,,
LiperiAir,0.55,57,16.8,,,,,,,,,,,,,,,,,,
LiperiAir,1.35,154,16.8,,,,,,,,,,,,,,,,,,
Liperior,2.2,229,16.8,,,,,,,,,,,,,,,,,,
Liperior,3.3,327,16.8,,,,,,,,,,,,,,,,,,
Liperior,4,408.9,16.8,,,,,,,,,,,,,,,,,,
Liperior,5,529,16.8,,,,,,,,,,,,,,,,,,
Liperior,6,667,16.8,,,,,,,,,,,,,,,,,,
Liperior,0.65,58,12.6,,,,,,,,,,,,,,,,,,
Liperior,1,107,12.6,,,,,,,,,,,,,,,,,,
Liperior,2.2,179,12.6,,,,,,,,,,,,,,,,,,
Liperior,3.3,252,12.6,,,,,,,,,,,,,,,,,,
Liperior,4,324,12.6,,,,,,,,,,,,,,,,,,
Liperior,5,375,12.6,,,,,,,,,,,,,,,,,,
LiperiAir,6,459,12.6,,,,,,,,,,,,,,,,,,
